Link check report for repository root: E:\IVS\Website\ivs\ivs.github.io
fab-demo.html -> /js/animations.js -> ..\..\..\..\js\animations.js -> MISSING
fab-demo.html -> /js/loadComponents.js -> ..\..\..\..\js\loadComponents.js -> MISSING
gallery.html -> /images/favicon.ico -> ..\..\..\..\images\favicon.ico -> MISSING
gallery.html -> /images/logo/logo-192.png -> ..\..\..\..\images\logo\logo-192.png -> MISSING
gallery.html -> /manifest.json -> ..\..\..\..\manifest.json -> MISSING
gallery.html -> /css/styles.css -> ..\..\..\..\css\styles.css -> MISSING
gallery.html -> /css/style.css -> ..\..\..\..\css\style.css -> MISSING
gallery.html -> /css/animations.css -> ..\..\..\..\css\animations.css -> MISSING
gallery.html -> /Pages/tailieu.html -> ..\..\..\..\Pages\tailieu.html -> MISSING
gallery.html -> /apps/story-repository.html -> ..\..\..\..\apps\story-repository.html -> MISSING
gallery.html -> /games/ivsgames.html -> ..\..\..\..\games\ivsgames.html -> MISSING
gallery.html -> /apps/ivsapps.html -> ..\..\..\..\apps\ivsapps.html -> MISSING
gallery.html -> /contact.html -> ..\..\..\..\contact.html -> MISSING
gallery.html -> /js/language.js -> ..\..\..\..\js\language.js -> MISSING
gallery.html -> /js/fabController.js -> ..\..\..\..\js\fabController.js -> MISSING
gallery.html -> /js/loadComponents.js -> ..\..\..\..\js\loadComponents.js -> MISSING
index.html -> /contact.html -> ..\..\..\..\contact.html -> MISSING
index.html -> /Pages/ivs-academy.html -> ..\..\..\..\Pages\ivs-academy.html -> MISSING
index.html -> /education.html -> ..\..\..\..\education.html -> MISSING
index.html -> /Pages/ivscelestech.html -> ..\..\..\..\Pages\ivscelestech.html -> MISSING
index.html -> /consulting.html -> ..\..\..\..\consulting.html -> MISSING
index.html -> /Blogs/eov2025.html -> ..\..\..\..\Blogs\eov2025.html -> MISSING
index.html -> /images/pages/eov2025.jpg -> ..\..\..\..\images\pages\eov2025.jpg -> MISSING
index.html -> /apps/ivsapps.html -> ..\..\..\..\apps\ivsapps.html -> MISSING
index.html -> /Pages/webdesign.html -> ..\..\..\..\Pages\webdesign.html -> MISSING
index.html -> /Pages/lkmamnon.html -> ..\..\..\..\Pages\lkmamnon.html -> MISSING
index.html -> /Pages/lkthcsthpt.html -> ..\..\..\..\Pages\lkthcsthpt.html -> MISSING
index.html -> /Pages/tech_devices.html -> ..\..\..\..\Pages\tech_devices.html -> MISSING
index.html -> /Pages/lkttnn.html -> ..\..\..\..\Pages\lkttnn.html -> MISSING
index.html -> /Pages/foreign-teacher-services.html -> ..\..\..\..\Pages\foreign-teacher-services.html -> MISSING
index.html -> /apps/ivsapps.html -> ..\..\..\..\apps\ivsapps.html -> MISSING
index.html -> /Pages/psb_introduction.html -> ..\..\..\..\Pages\psb_introduction.html -> MISSING
index.html -> /Pages/webdesign.html -> ..\..\..\..\Pages\webdesign.html -> MISSING
index.html -> /Pages/ivscelestech-tcnoithat.html -> ..\..\..\..\Pages\ivscelestech-tcnoithat.html -> MISSING
index.html -> /Pages/litigation_consulting.html -> ..\..\..\..\Pages\litigation_consulting.html -> MISSING
index.html -> /Pages/careervn.html -> ..\..\..\..\Pages\careervn.html -> MISSING
index.html -> /Pages/tech_devices.html -> ..\..\..\..\Pages\tech_devices.html -> MISSING
